,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
0,14/08/2020,EQ,46.95,46.95,45.65,45.6,46.0,45.9,46.0,4802.1,36.9,207116,9527599.85,1319
1,13/08/2020,EQ,47.95,47.95,45.5,45.65,45.7,45.6,45.76,4802.1,36.9,259846,11890083.25,2050
2,12/08/2020,EQ,45.6,46.0,43.8,47.05,45.75,45.65,44.74,4802.1,36.9,561506,25119512.45,3598
3,11/08/2020,EQ,48.1,48.1,46.85,48.25,46.95,47.05,47.39,4802.1,36.9,369276,17501787.9,2186
4,10/08/2020,EQ,48.95,48.95,47.75,48.9,48.3,48.25,48.12,4802.1,36.9,315271,15170274.35,2820
5,07/08/2020,EQ,49.9,49.9,48.6,48.6,48.9,48.9,48.89,4802.1,36.9,453232,22158370.35,2414
6,06/08/2020,EQ,48.25,48.8,48.2,48.25,48.6,48.6,48.42,4802.1,36.9,555568,26899067.65,2323
7,05/08/2020,EQ,47.25,48.5,47.25,46.95,48.25,48.25,47.88,4802.1,36.9,303392,14525882.3,2276
8,04/08/2020,EQ,47.5,47.5,46.5,46.95,47.0,46.95,46.98,4802.1,36.9,159553,7496522.2,1503
9,03/08/2020,EQ,45.25,47.4,45.25,46.75,47.1,46.95,46.95,4802.1,36.9,247594,11624296.3,2182
10,31/07/2020,EQ,46.9,47.0,46.1,46.2,46.8,46.75,46.56,4802.1,36.9,285205,13278436.95,2217
11,30/07/2020,EQ,47.0,48.7,46.1,46.2,46.3,46.2,46.32,4802.1,36.9,246160,11402251.2,2382
12,29/07/2020,EQ,52.7,52.7,44.1,45.8,46.25,46.2,46.21,4802.1,36.9,361881,16721125.65,3207
13,28/07/2020,EQ,53.2,53.2,45.25,46.4,45.75,45.8,46.09,4802.1,36.9,687669,31697573.1,5499
14,27/07/2020,EQ,53.0,53.0,36.9,52.35,46.4,46.4,46.21,4802.1,36.9,1214470,56116405.8,16662
15,23/07/2020,EQ,43.65,52.35,43.65,4367.1,52.35,52.35,49.27,4802.1,43.65,365759,18020462.25,5511
16,22/07/2020,EQ,4320.0,4374.8,4320.0,4303.2,4374.8,4367.1,4364.71,4802.1,3015.0,2744,11976777.95,445
17,21/07/2020,EQ,4324.0,4324.0,4285.05,4281.5,4300.0,4303.2,4299.17,4802.1,3015.0,1495,6427265.35,307
18,20/07/2020,EQ,4300.0,4300.0,4261.0,4253.85,4284.0,4281.5,4279.06,4802.1,3015.0,997,4266223.2,311
19,17/07/2020,EQ,4275.8,4282.95,4250.0,4275.8,4256.0,4253.85,4261.93,4802.1,3007.05,884,3767549.1,199
